date,village_latitude,village_longitude,temperature,humidity,wind_speed,wind_direction,precipitation,cloud_cover
2002-02-26,-22.83968154859649,-53.669746015653914,29.9,61,13.7,55,0.0,60
2002-04-11,-22.83968154859649,-53.669746015653914,32.5,42,9.0,358,0.0,44
2002-05-25,-22.83968154859649,-53.669746015653914,22.5,56,12.4,73,0.0,0
2002-06-21,-21.81107045452548,-60.05897979894552,24.8,68,6.5,214,0.0,20
2002-06-22,-21.81107045452548,-60.05897979894552,12.5,67,20.5,190,0.0,100
2002-06-24,-21.81107045452548,-60.05897979894552,14.3,59,11.6,187,0.0,22
2002-06-25,-21.81107045452548,-60.05897979894552,16.1,59,7.0,159,0.0,85
2002-06-26,-21.81107045452548,-60.05897979894552,22.0,56,8.6,33,0.0,0
2002-06-27,-21.81107045452548,-60.05897979894552,26.5,52,23.2,13,0.0,2
2002-06-28,-21.81107045452548,-60.05897979894552,27.9,53,28.2,355,0.0,76
2002-06-29,-21.81107045452548,-60.05897979894552,28.6,56,24.9,338,0.0,99
2002-06-30,-21.81107045452548,-60.05897979894552,17.5,80,13.8,189,0.0,100
2002-07-01,-21.81107045452548,-60.05897979894552,15.9,78,8.1,212,0.0,100
2002-07-02,-21.81107045452548,-60.05897979894552,17.4,80,3.8,131,0.0,100
2002-07-03,-21.81107045452548,-60.05897979894552,24.4,67,2.0,45,0.0,99
2002-07-04,-21.81107045452548,-60.05897979894552,11.8,88,14.5,228,0.0,100
2002-07-05,-21.81107045452548,-60.05897979894552,13.0,82,5.4,217,0.0,100
2002-07-07,-21.81107045452548,-60.05897979894552,15.5,56,8.9,201,0.0,0
2002-07-08,-21.81107045452548,-60.05897979894552,17.1,53,6.3,66,0.0,0
2002-07-10,-21.81107045452548,-60.05897979894552,16.4,64,6.0,155,0.0,98
2002-07-11,-21.81107045452548,-60.05897979894552,15.2,72,6.2,173,0.0,100
2002-07-12,-21.81107045452548,-60.05897979894552,18.1,60,10.5,184,0.0,4
2002-07-13,-21.81107045452548,-60.05897979894552,18.2,58,6.2,144,0.0,0
2002-07-14,-21.81107045452548,-60.05897979894552,20.2,45,5.6,63,0.0,0
2002-07-15,-22.630231576205357,-52.22684247354167,21.9,56,8.1,58,0.0,0
2002-07-15,-21.81107045452548,-60.05897979894552,24.0,44,5.6,45,0.0,0
2002-07-16,-22.630231576205357,-52.22684247354167,22.6,53,5.6,75,0.0,9
2002-07-16,-21.81107045452548,-60.05897979894552,24.7,53,5.5,79,0.0,15
2002-07-17,-22.630231576205357,-52.22684247354167,23.4,48,8.6,105,0.0,6
2002-07-17,-21.81107045452548,-60.05897979894552,23.8,61,7.1,139,0.0,100
2002-07-18,-21.81107045452548,-60.05897979894552,22.9,77,8.7,95,0.7,98
2002-07-18,-22.630231576205357,-52.22684247354167,19.4,55,15.8,91,0.0,17
2002-07-19,-22.630231576205357,-52.22684247354167,20.0,66,10.8,75,0.0,97
2002-07-19,-21.81107045452548,-60.05897979894552,25.5,54,12.2,47,0.0,87
2002-07-20,-22.630231576205357,-52.22684247354167,24.4,57,13.9,65,0.0,55
2002-07-20,-21.81107045452548,-60.05897979894552,27.7,56,28.5,357,0.0,72
2002-07-21,-22.630231576205357,-52.22684247354167,22.5,76,17.8,43,0.4,68
2002-07-21,-21.81107045452548,-60.05897979894552,28.1,56,31.5,341,0.0,60
2002-07-22,-22.630231576205357,-52.22684247354167,18.6,96,16.7,7,0.7,100
2002-07-22,-21.81107045452548,-60.05897979894552,22.5,72,11.8,157,0.0,90
2002-07-24,-22.83968154859649,-53.669746015653914,27.5,60,14.3,41,0.0,0
2002-07-24,-22.630231576205357,-52.22684247354167,25.6,62,14.5,63,0.0,0
2002-07-25,-21.81107045452548,-60.05897979894552,15.2,80,20.6,199,0.0,100
2002-07-25,-22.630231576205357,-52.22684247354167,26.8,55,9.4,58,0.0,0
2002-07-26,-22.83968154859649,-53.669746015653914,26.4,60,3.1,36,0.0,92
2002-07-26,-22.630231576205357,-52.22684247354167,26.3,50,11.4,66,0.0,83
2002-07-26,-21.81107045452548,-60.05897979894552,17.8,59,1.5,104,0.0,87
2002-07-27,-22.630231576205357,-52.22684247354167,23.5,63,9.7,239,0.0,98
2002-07-27,-21.81107045452548,-60.05897979894552,17.8,56,15.5,192,0.0,28
2002-07-28,-22.630231576205357,-52.22684247354167,18.7,48,9.4,178,0.0,0
2002-07-28,-21.81107045452548,-60.05897979894552,18.7,48,7.2,90,0.0,8
2002-07-29,-22.630231576205357,-52.22684247354167,20.6,57,15.1,78,0.0,87
2002-07-29,-21.81107045452548,-60.05897979894552,23.8,47,17.7,33,0.0,42
2002-07-30,-22.83968154859649,-53.669746015653914,22.8,61,13.2,64,0.0,33
2002-07-31,-22.630231576205357,-52.22684247354167,26.7,59,6.9,43,0.3,58
2002-07-31,-21.81107045452548,-60.05897979894552,27.4,57,12.3,275,0.1,83
2002-08-01,-21.81107045452548,-60.05897979894552,13.3,75,14.9,188,0.0,100
2002-08-01,-22.630231576205357,-52.22684247354167,22.1,88,7.1,15,0.6,100
2002-08-02,-22.630231576205357,-52.22684247354167,19.4,92,2.3,288,1.1,100
2002-08-02,-21.81107045452548,-60.05897979894552,13.7,58,11.1,209,0.0,69
2002-08-03,-22.630231576205357,-52.22684247354167,16.0,67,8.3,236,0.0,97
2002-08-03,-21.81107045452548,-60.05897979894552,16.4,50,7.4,67,0.0,0
2002-08-04,-22.630231576205357,-52.22684247354167,22.2,65,7.7,37,0.0,82
2002-08-04,-21.81107045452548,-60.05897979894552,24.4,54,13.9,17,0.0,98
2002-08-05,-22.630231576205357,-52.22684247354167,26.6,63,13.5,351,0.0,66
2002-08-05,-21.81107045452548,-60.05897979894552,19.0,64,6.9,189,0.0,0
2002-08-06,-22.630231576205357,-52.22684247354167,27.4,65,3.7,61,0.0,0
2002-08-06,-21.81107045452548,-60.05897979894552,26.6,54,11.8,52,0.0,0
2002-08-07,-21.81107045452548,-60.05897979894552,32.5,41,22.0,2,0.0,0
2002-08-07,-22.630231576205357,-52.22684247354167,28.9,60,11.1,77,0.0,0
2002-08-08,-22.630231576205357,-52.22684247354167,28.3,52,14.8,56,0.0,8
2002-08-08,-21.81107045452548,-60.05897979894552,33.5,36,23.4,1,0.0,0
2002-08-09,-22.630231576205357,-52.22684247354167,26.1,53,6.3,149,0.0,22
2002-08-09,-21.81107045452548,-60.05897979894552,21.9,63,17.3,175,0.0,40
2002-08-10,-22.630231576205357,-52.22684247354167,23.5,56,5.1,98,0.0,1
2002-08-10,-21.81107045452548,-60.05897979894552,22.5,42,5.2,146,0.0,17
2002-08-11,-22.630231576205357,-52.22684247354167,26.3,62,7.6,71,0.0,1
2002-08-11,-21.81107045452548,-60.05897979894552,30.6,38,12.7,29,0.0,0
2002-08-12,-22.630231576205357,-52.22684247354167,28.8,53,8.2,38,0.0,0
2002-08-12,-21.81107045452548,-60.05897979894552,33.7,31,10.9,343,0.0,2
2002-08-13,-21.81107045452548,-60.05897979894552,33.6,33,14.4,347,0.0,0
2002-08-13,-22.630231576205357,-52.22684247354167,28.9,45,12.4,30,0.0,18
2002-08-14,-22.630231576205357,-52.22684247354167,28.0,45,5.9,346,0.0,24
2002-08-14,-21.81107045452548,-60.05897979894552,33.1,35,9.5,295,0.0,1
2002-08-15,-22.630231576205357,-52.22684247354167,26.1,55,15.6,71,0.0,0
2002-08-15,-21.81107045452548,-60.05897979894552,27.6,54,4.0,185,0.0,1
2002-08-16,-22.630231576205357,-52.22684247354167,26.1,57,18.6,75,0.0,1
2002-08-16,-21.81107045452548,-60.05897979894552,34.0,28,10.9,17,0.0,1
2002-08-17,-22.630231576205357,-52.22684247354167,27.3,47,17.5,71,0.0,0
2002-08-17,-21.81107045452548,-60.05897979894552,33.9,33,20.6,16,0.0,1
2002-08-18,-22.630231576205357,-52.22684247354167,28.4,42,19.0,53,0.0,0
2002-08-18,-21.81107045452548,-60.05897979894552,34.3,35,35.3,3,0.0,2
2002-08-19,-21.81107045452548,-60.05897979894552,33.1,38,31.0,358,0.0,49
2002-08-19,-22.630231576205357,-52.22684247354167,28.9,38,19.6,41,0.0,12
2002-08-20,-22.630231576205357,-52.22684247354167,29.1,38,17.7,20,0.0,59
2002-08-20,-21.81107045452548,-60.05897979894552,23.4,68,11.3,207,0.0,75
2002-08-21,-22.630231576205357,-52.22684247354167,27.1,42,5.4,20,0.0,98
2002-08-21,-21.81107045452548,-60.05897979894552,21.1,55,9.0,182,0.0,63
2002-08-22,-22.630231576205357,-52.22684247354167,28.2,48,9.7,63,0.0,21
2002-08-22,-21.81107045452548,-60.05897979894552,25.5,54,9.9,33,0.0,12
2002-08-23,-22.630231576205357,-52.22684247354167,29.1,43,15.1,52,0.0,3
2002-08-23,-21.81107045452548,-60.05897979894552,31.3,47,21.3,5,0.0,0
2002-08-24,-22.630231576205357,-52.22684247354167,29.6,41,15.9,57,0.0,2
2002-08-24,-21.81107045452548,-60.05897979894552,33.2,38,26.2,9,0.0,0
2002-08-25,-21.81107045452548,-60.05897979894552,34.6,36,25.7,6,0.0,0
2002-08-25,-22.630231576205357,-52.22684247354167,29.7,40,14.7,68,0.0,0
2002-08-26,-21.81107045452548,-60.05897979894552,35.7,32,21.3,11,0.0,16
2002-08-26,-22.630231576205357,-52.22684247354167,28.3,44,15.2,86,0.0,0
2002-08-27,-22.630231576205357,-52.22684247354167,27.3,46,18.6,68,0.0,1
2002-08-27,-21.81107045452548,-60.05897979894552,35.0,32,18.5,27,0.0,12
2002-08-28,-22.83968154859649,-53.669746015653914,31.4,30,21.2,35,0.0,16
2002-08-28,-22.630231576205357,-52.22684247354167,29.0,35,20.4,42,0.0,4
2002-08-28,-21.81107045452548,-60.05897979894552,34.0,39,34.9,1,0.0,6
2002-08-29,-22.630231576205357,-52.22684247354167,23.9,60,10.7,42,0.0,100
2002-08-29,-21.81107045452548,-60.05897979894552,23.4,43,20.7,193,0.0,16
2002-08-30,-22.630231576205357,-52.22684247354167,19.9,69,6.1,230,0.0,87
2002-08-30,-21.81107045452548,-60.05897979894552,21.8,44,11.2,130,0.0,2
2002-08-31,-21.81107045452548,-60.05897979894552,20.5,46,18.0,168,0.0,4
2002-08-31,-22.630231576205357,-52.22684247354167,20.6,56,14.1,238,0.0,88
2002-09-01,-22.630231576205357,-52.22684247354167,17.2,37,15.3,223,0.0,0
2002-09-01,-21.81107045452548,-60.05897979894552,18.9,34,11.9,151,0.0,11
2002-09-02,-22.630231576205357,-52.22684247354167,14.5,43,7.6,199,0.0,0
2002-09-02,-21.81107045452548,-60.05897979894552,19.4,34,7.2,90,0.0,78
2002-09-03,-22.630231576205357,-52.22684247354167,19.2,38,1.6,63,0.0,53
2002-09-03,-21.81107045452548,-60.05897979894552,23.5,25,6.3,59,0.0,96
2002-09-04,-22.630231576205357,-52.22684247354167,24.1,32,11.6,54,0.0,95
2002-09-04,-21.81107045452548,-60.05897979894552,27.5,25,14.8,34,0.0,83
2002-09-05,-21.81107045452548,-60.05897979894552,32.9,38,28.4,352,0.0,21
2002-09-05,-22.630231576205357,-52.22684247354167,24.4,54,14.8,86,0.0,43
2002-09-06,-21.81107045452548,-60.05897979894552,31.6,48,13.5,286,0.0,91
2002-09-07,-21.81107045452548,-60.05897979894552,17.6,51,14.4,177,0.0,100
2002-09-07,-22.630231576205357,-52.22684247354167,22.9,52,13.8,195,0.0,64
2002-09-08,-22.630231576205357,-52.22684247354167,22.9,57,15.3,82,0.0,27
2002-09-08,-21.81107045452548,-60.05897979894552,22.1,35,5.8,150,0.0,24
2002-09-09,-21.81107045452548,-60.05897979894552,28.8,33,7.1,75,0.0,2
2002-09-10,-22.630231576205357,-52.22684247354167,27.1,57,12.5,72,0.0,1
2002-09-10,-21.81107045452548,-60.05897979894552,34.5,35,22.6,17,0.0,53
2002-09-11,-22.630231576205357,-52.22684247354167,30.1,45,19.0,37,0.0,6
2002-09-11,-21.81107045452548,-60.05897979894552,35.4,33,29.5,2,0.0,54
2002-09-12,-22.630231576205357,-52.22684247354167,31.4,36,16.3,355,0.0,100
2002-09-12,-21.81107045452548,-60.05897979894552,28.3,59,11.2,176,0.5,100
2002-09-13,-21.81107045452548,-60.05897979894552,25.6,63,8.4,31,0.0,100
2002-09-13,-22.630231576205357,-52.22684247354167,26.3,62,4.2,329,0.4,100
2002-09-14,-21.81107045452548,-60.05897979894552,20.8,89,9.6,160,0.0,100
2002-09-14,-22.630231576205357,-52.22684247354167,25.6,67,10.1,264,0.0,100
2002-09-15,-21.81107045452548,-60.05897979894552,29.5,56,8.9,21,0.0,31
2002-09-16,-22.630231576205357,-52.22684247354167,29.4,56,16.6,48,0.0,83
2002-09-16,-21.81107045452548,-60.05897979894552,33.2,45,23.8,360,0.0,0
2002-09-17,-22.630231576205357,-52.22684247354167,30.3,49,15.6,40,0.0,24
2002-09-17,-21.81107045452548,-60.05897979894552,35.6,35,25.1,7,0.0,0
2002-09-18,-22.83968154859649,-53.669746015653914,33.3,43,11.6,26,0.0,97
2002-09-18,-22.630231576205357,-52.22684247354167,31.2,50,11.2,50,0.0,98
2002-09-18,-21.81107045452548,-60.05897979894552,35.8,36,25.7,5,0.0,1
2002-09-19,-21.81107045452548,-60.05897979894552,34.6,41,21.1,316,0.0,31
2002-09-20,-22.630231576205357,-52.22684247354167,26.4,72,16.5,280,1.3,100
2002-09-20,-21.81107045452548,-60.05897979894552,18.6,53,19.2,185,0.0,100
2002-09-21,-22.630231576205357,-52.22684247354167,22.7,47,7.2,186,0.0,0
2002-09-22,-21.81107045452548,-60.05897979894552,21.9,39,4.9,54,0.0,87
2002-09-22,-22.630231576205357,-52.22684247354167,23.0,55,9.0,37,0.0,51
2002-09-23,-22.630231576205357,-52.22684247354167,20.7,78,9.0,95,0.1,93
2002-09-23,-21.81107045452548,-60.05897979894552,25.6,42,8.0,175,0.0,26
2002-09-24,-22.630231576205357,-52.22684247354167,24.6,40,9.7,105,0.0,0
2002-09-24,-21.81107045452548,-60.05897979894552,27.4,30,7.4,104,0.0,0
2002-09-25,-22.630231576205357,-52.22684247354167,23.7,48,13.6,78,0.0,0
2002-09-25,-21.81107045452548,-60.05897979894552,30.0,27,14.0,26,0.0,0
2002-09-26,-22.630231576205357,-52.22684247354167,26.5,45,9.1,72,0.0,0
2002-09-26,-21.81107045452548,-60.05897979894552,32.3,24,11.7,34,0.0,0
2002-09-27,-22.630231576205357,-52.22684247354167,28.3,42,13.0,76,0.0,0
2002-09-27,-21.81107045452548,-60.05897979894552,34.5,22,13.2,11,0.0,9
2002-09-28,-21.81107045452548,-60.05897979894552,36.5,24,18.7,2,0.0,0
2002-09-28,-22.630231576205357,-52.22684247354167,28.3,50,13.8,75,0.0,1
2002-09-29,-21.81107045452548,-60.05897979894552,36.9,27,25.9,358,0.0,33
2002-09-30,-22.630231576205357,-52.22684247354167,33.6,33,17.6,359,0.0,14
2002-09-30,-21.81107045452548,-60.05897979894552,36.3,33,24.7,329,0.0,28
2002-10-01,-22.630231576205357,-52.22684247354167,29.9,53,6.5,251,0.0,44
2002-10-01,-21.81107045452548,-60.05897979894552,29.0,58,3.7,191,0.0,100
2002-10-02,-22.630231576205357,-52.22684247354167,29.6,51,16.7,65,0.0,0
2002-10-02,-21.81107045452548,-60.05897979894552,35.1,37,29.6,4,0.0,5
2002-10-03,-22.630231576205357,-52.22684247354167,32.3,43,11.8,31,0.0,85
2002-10-03,-21.81107045452548,-60.05897979894552,34.9,39,24.7,337,0.0,83
2002-10-04,-22.630231576205357,-52.22684247354167,31.9,53,8.4,31,0.0,17
2002-10-04,-21.81107045452548,-60.05897979894552,36.8,34,25.2,2,0.0,66
2002-10-04,-22.83968154859649,-53.669746015653914,33.0,52,9.2,26,0.0,39
2002-10-05,-22.630231576205357,-52.22684247354167,33.4,48,12.4,17,0.0,46
2002-10-05,-21.81107045452548,-60.05897979894552,37.4,34,22.8,355,0.0,4
2002-10-06,-22.630231576205357,-52.22684247354167,33.8,40,13.6,50,0.0,24
2002-10-06,-21.81107045452548,-60.05897979894552,38.7,27,26.3,4,0.0,3
2002-10-07,-22.630231576205357,-52.22684247354167,34.9,42,16.6,356,0.0,8
2002-10-07,-21.81107045452548,-60.05897979894552,39.1,27,25.9,2,0.0,0
2002-10-08,-22.630231576205357,-52.22684247354167,34.9,42,12.8,10,0.0,13
2002-10-08,-21.81107045452548,-60.05897979894552,38.3,30,22.0,356,0.0,5
2002-10-09,-22.630231576205357,-52.22684247354167,35.2,33,15.1,50,0.0,85
2002-10-09,-21.81107045452548,-60.05897979894552,37.3,30,23.8,2,0.0,15
2002-10-10,-21.81107045452548,-60.05897979894552,37.2,29,19.8,359,0.0,10
2002-10-10,-22.630231576205357,-52.22684247354167,35.4,32,8.4,31,0.0,1
2002-10-11,-21.81107045452548,-60.05897979894552,37.4,30,25.5,351,0.0,17
2002-10-12,-22.630231576205357,-52.22684247354167,35.2,32,4.0,207,0.0,96
2002-10-12,-21.81107045452548,-60.05897979894552,37.9,30,20.8,351,0.0,1
2002-10-13,-22.630231576205357,-52.22684247354167,32.6,41,11.5,49,0.0,50
2002-10-13,-21.81107045452548,-60.05897979894552,38.8,25,20.2,11,0.0,16
2002-10-14,-21.81107045452548,-60.05897979894552,37.0,33,27.4,1,0.0,90
2002-10-15,-22.630231576205357,-52.22684247354167,35.5,34,7.5,107,0.0,68
2002-10-15,-21.81107045452548,-60.05897979894552,37.8,31,20.9,1,0.0,74
2002-10-16,-22.630231576205357,-52.22684247354167,34.9,33,6.3,66,0.0,91
2002-10-16,-21.81107045452548,-60.05897979894552,39.0,23,14.7,343,0.0,34
2002-10-17,-22.630231576205357,-52.22684247354167,30.5,51,4.0,270,0.0,86
2002-10-17,-21.81107045452548,-60.05897979894552,21.0,68,9.4,212,0.0,100
2002-10-18,-21.81107045452548,-60.05897979894552,31.5,43,15.7,9,0.0,61
2002-10-18,-22.630231576205357,-52.22684247354167,26.0,62,15.9,86,0.6,84
2002-10-19,-22.630231576205357,-52.22684247354167,30.1,51,11.3,83,0.0,77
2002-10-19,-21.81107045452548,-60.05897979894552,35.0,38,23.4,2,0.0,11
2002-10-20,-22.630231576205357,-52.22684247354167,33.8,40,12.2,346,0.0,4
2002-10-20,-21.81107045452548,-60.05897979894552,36.5,32,26.3,1,0.0,0
2002-10-21,-22.83968154859649,-53.669746015653914,29.7,65,11.9,256,0.2,99
2002-10-21,-21.81107045452548,-60.05897979894552,20.4,46,24.7,188,0.0,100
2002-10-22,-22.630231576205357,-52.22684247354167,29.1,54,9.4,223,0.0,99
2002-10-22,-21.81107045452548,-60.05897979894552,16.9,53,16.3,185,0.0,73
2002-10-23,-22.630231576205357,-52.22684247354167,29.1,46,15.2,83,0.0,47
2002-10-23,-21.81107045452548,-60.05897979894552,29.7,32,10.0,15,0.0,1
2002-10-24,-21.81107045452548,-60.05897979894552,37.1,29,22.3,360,0.0,78
2002-10-24,-22.630231576205357,-52.22684247354167,32.3,43,13.8,49,0.0,2
2002-10-25,-21.81107045452548,-60.05897979894552,38.7,27,23.9,354,0.0,41
2002-10-26,-22.630231576205357,-52.22684247354167,32.4,53,9.5,331,0.2,56
2002-10-26,-21.81107045452548,-60.05897979894552,39.0,29,23.8,357,0.0,0
2002-10-27,-22.630231576205357,-52.22684247354167,32.6,52,9.7,42,0.0,13
2002-10-27,-21.81107045452548,-60.05897979894552,38.9,29,20.3,353,0.1,27
2002-10-28,-22.630231576205357,-52.22684247354167,33.4,44,7.1,49,0.0,39
2002-10-28,-21.81107045452548,-60.05897979894552,37.3,33,9.3,74,0.0,100
2002-10-29,-22.630231576205357,-52.22684247354167,33.8,46,9.9,19,0.0,100
2002-10-29,-21.81107045452548,-60.05897979894552,28.3,74,11.5,58,0.0,100
2002-10-30,-21.81107045452548,-60.05897979894552,16.9,83,17.8,234,0.0,100
2002-10-31,-22.630231576205357,-52.22684247354167,25.2,69,10.4,46,0.0,100
2002-11-01,-21.81107045452548,-60.05897979894552,27.3,51,5.2,102,0.0,0
2002-11-01,-22.630231576205357,-52.22684247354167,27.7,62,3.2,360,0.3,53
2002-11-02,-22.630231576205357,-52.22684247354167,30.8,48,11.5,46,0.0,26
2002-11-02,-21.81107045452548,-60.05897979894552,32.7,43,19.8,3,0.0,46
2002-11-03,-22.630231576205357,-52.22684247354167,32.9,42,14.8,18,0.0,0
2002-11-03,-21.81107045452548,-60.05897979894552,35.0,42,22.7,11,0.0,0
2002-11-04,-22.630231576205357,-52.22684247354167,23.8,92,4.7,293,3.3,100
2002-11-04,-21.81107045452548,-60.05897979894552,23.9,47,26.1,187,0.0,87
2002-11-05,-22.630231576205357,-52.22684247354167,26.7,59,13.6,112,0.0,100
2002-11-05,-21.81107045452548,-60.05897979894552,21.6,49,17.6,181,0.0,57
2002-11-06,-21.81107045452548,-60.05897979894552,25.7,49,8.6,165,0.0,66
2002-11-06,-22.630231576205357,-52.22684247354167,26.5,46,14.6,110,0.0,1
2002-11-07,-21.81107045452548,-60.05897979894552,31.8,42,14.5,30,0.0,73
2002-11-08,-22.630231576205357,-52.22684247354167,27.0,46,14.0,64,0.0,0
2002-11-08,-21.81107045452548,-60.05897979894552,32.6,40,18.4,28,0.0,1
2002-11-09,-22.630231576205357,-52.22684247354167,32.0,38,14.2,27,0.0,57
2002-11-09,-21.81107045452548,-60.05897979894552,35.6,36,27.0,359,0.0,29
2002-11-10,-22.630231576205357,-52.22684247354167,26.5,80,22.7,311,3.9,100
2002-11-10,-21.81107045452548,-60.05897979894552,18.5,58,20.9,183,0.0,100
2002-11-11,-21.81107045452548,-60.05897979894552,24.5,36,8.7,138,0.0,100
2002-11-12,-22.630231576205357,-52.22684247354167,26.7,55,4.0,355,0.0,98
2002-11-12,-21.81107045452548,-60.05897979894552,26.1,49,9.3,16,0.0,99
2002-11-13,-22.630231576205357,-52.22684247354167,27.1,59,13.8,84,0.0,100
2002-11-14,-21.81107045452548,-60.05897979894552,36.8,33,24.0,351,0.0,4
2002-11-15,-21.81107045452548,-60.05897979894552,37.5,32,15.9,5,0.0,18
2002-11-15,-22.630231576205357,-52.22684247354167,29.6,66,8.3,288,0.1,100
2002-11-16,-21.81107045452548,-60.05897979894552,36.4,34,17.3,359,0.0,63
2002-11-16,-22.630231576205357,-52.22684247354167,30.4,64,7.4,313,0.0,15
2002-11-17,-22.630231576205357,-52.22684247354167,32.0,59,10.1,354,0.2,39
2002-11-17,-21.81107045452548,-60.05897979894552,37.5,33,24.2,4,0.0,0
2002-11-18,-22.630231576205357,-52.22684247354167,32.3,55,12.6,336,0.2,26
2002-11-18,-21.81107045452548,-60.05897979894552,37.9,34,24.1,350,0.0,0
2002-11-19,-22.630231576205357,-52.22684247354167,31.4,63,7.4,29,0.0,98
2002-11-20,-22.630231576205357,-52.22684247354167,32.1,58,12.3,3,0.0,22
2002-11-20,-21.81107045452548,-60.05897979894552,38.1,32,27.4,360,0.0,47
2002-11-21,-22.630231576205357,-52.22684247354167,33.9,53,6.9,317,0.0,89
2002-11-21,-21.81107045452548,-60.05897979894552,38.2,32,11.0,341,0.0,96
2002-11-22,-21.81107045452548,-60.05897979894552,28.7,72,2.2,90,0.1,98
2002-11-22,-22.630231576205357,-52.22684247354167,31.0,49,17.1,83,0.0,98
2002-11-23,-22.630231576205357,-52.22684247354167,30.1,55,12.4,68,0.0,72
2002-11-23,-21.81107045452548,-60.05897979894552,32.7,54,9.1,9,0.0,15
2002-11-24,-22.630231576205357,-52.22684247354167,30.9,61,13.3,38,0.2,51
2002-11-24,-21.81107045452548,-60.05897979894552,34.1,52,15.5,13,0.0,89
2002-11-25,-22.630231576205357,-52.22684247354167,31.0,63,17.3,343,0.0,100
2002-11-25,-21.81107045452548,-60.05897979894552,34.3,43,27.6,353,0.0,41
2002-11-26,-22.83968154859649,-53.669746015653914,34.4,49,17.1,319,0.0,22
2002-11-26,-22.630231576205357,-52.22684247354167,32.2,58,13.5,326,0.2,43
2002-11-26,-21.81107045452548,-60.05897979894552,34.9,45,26.5,338,0.0,57
2002-11-27,-21.81107045452548,-60.05897979894552,37.0,38,28.9,356,0.0,49
